request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,1302.4,affordable_now,full_payment,2024-06-07:1302.40,2024-06-07,none,"Pay EUR 1,302.40 today. This leaves at least EUR 1,100 available over the next 90 days."
request_29,14354.16,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Only ZAR 14,354.16 is available today, and the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available over the next 90 days."
request_31,3305641.42,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Wait until 15 October 2024, then pay IDR 18,164,000 in full. Paying earlier would drop the balance below the IDR 16,588,900 minimum."
request_32,12772.36,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 40,018 request. Only ZAR 12,772.36 is available today, and the full amount cannot be completed safely within 90 days."
request_33,38408.75,not_affordable,not_recommended,none,,none,"Not recommended: INR 38,408.75 is available today, but the full INR 118,000 cannot be completed safely within 90 days."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,54958.38,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 15 January 2026, then pay INR 212,000 in full. Paying earlier would drop the balance below the INR 106,400 minimum."
request_36,625.05,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 15 September 2026, then pay USD 3,954 in full. Paying earlier would drop the balance below the USD 2,400 minimum."
request_37,14649000.0,affordable_now,full_payment,2024-03-05:14649000,2024-03-05,none,"Pay IDR 14,649,000 today. This leaves at least IDR 17,056,200 available over the next 90 days."
request_38,185.15,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Wait until 15 October 2025, then pay EUR 971.30 in full. Paying earlier would drop the balance below the EUR 400 minimum."
request_39,57959.4,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 15 June 2026, then pay INR 208,600 in full. Paying earlier would drop the balance below the INR 213,400 minimum."
request_40,384.66,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Wait until 15 August 2024, then pay EUR 1,290.30 in full. Paying earlier would drop the balance below the EUR 1,500 minimum."
request_41,9380338.25,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 15 January 2026, then pay IDR 38,760,000 in full."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,8462723.3,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 15 November 2024, then pay IDR 43,339,000 in full. Paying earlier would drop the balance below the IDR 21,398,000 minimum."
request_44,28252.13,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95,800 request. Only INR 28,252.13 is available today, and the full amount cannot be completed safely within 90 days."
request_45,4085832.16,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 15 September 2026, then pay IDR 21,983,000 in full."
request_46,38040.41,affordable_with_plan,partial_payment,2024-12-03:38040.41|2024-12-15:11409.59,2024-12-15,none,"Use 2 installments starting 3 December 2024: INR 38,040.41 today and INR 11,409.59 on 15 December 2024. This completes the full request while keeping the INR 84,000 minimum protected."
request_47,28201490.3,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38,114,000 request. Although IDR 28,201,490 is available today, the full amount cannot be completed safely within 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,34283248.24,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-04,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available over the next 90 days."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,17748.64,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 15 June 2024, then pay INR 28,870 in full. Paying earlier would drop the balance below the INR 41,500 minimum."
request_53,497.61,not_affordable,not_recommended,none,2026-01-15,none,"This purchase is not recommended: USD 1,699.20 cannot be paid in full within 90 days, since only USD 497.61 is available today."
request_54,2779.09,not_affordable,not_recommended,none,,none,"Not recommended: ZAR 121,528 cannot be completed safely within 90 days, even though ZAR 2,779.09 is available today."
request_55,125572.84,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This keeps at least INR 124,300 available throughout the plan."
request_56,588.7,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-15,none,"Use 2 installments of USD 458.42, starting 3 February 2025. This leaves at least USD 2,100 available over the next 90 days."
request_57,12709.45,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 61,446 in full. Paying earlier would drop the balance below the ZAR 42,700 minimum."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available over the next 90 days."
request_60,149.59,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Wait until 15 January 2026, then pay USD 199.89 in full. Paying earlier would drop the balance below the USD 400 minimum."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available over the next 90 days."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,48442.93,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Only INR 48,442.93 is available today, and the full amount cannot be completed safely within 90 days."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. The full INR 63,700 cannot be paid without dropping below the INR 36,100 minimum balance."
request_65,6342.81,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 6,342.81 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,387.47,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 15 October 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1330.39,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025, with the final payment on 11 April 2025. This keeps at least USD 1,500 available throughout."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,48921.24,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 15 February 2025, then pay INR 243,900 in full. Paying earlier would drop the balance below the INR 115,000 minimum."
request_71,656848.58,not_affordable,not_recommended,none,,none,"Not recommended: the IDR 21,451,000 request cannot be completed safely within 90 days. Only IDR 656,848.58 is available today, so do not proceed."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,25367.16,not_affordable,not_recommended,none,,none,"Not recommended: ZAR 25,367.16 is available today, but the full ZAR 28,270 cannot be completed safely within 90 days."
request_76,3181.48,not_affordable,not_recommended,none,2024-08-03,none,"Do not proceed with the USD 4,455.60 request. Only USD 3,181.48 is available today, and the full amount cannot be completed safely within 90 days."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,47550.16,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,stop:event_7224,"Adjust flexible spending (stop:event_7224), then pay INR 50,200 today. This leaves at least INR 55,200 available over the next 90 days."
request_79,293.22,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Only EUR 293.22 is available today, and the full amount cannot be completed safely within 90 days."
request_80,208522.27,not_affordable,not_recommended,none,2025-03-06,none,"Do not proceed with the INR 217,500 request. Although INR 208,522.27 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,1405.2,affordable_now,full_payment,2024-12-05:1405.20,2024-12-05,none,"Pay USD 1,405.20 today. This leaves at least USD 1,100 available over the next 90 days."
request_83,5759.95,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Only INR 5,759.95 is available today, and the full amount cannot be paid within 90 days."
request_84,27563.89,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,6887698.39,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 6,887,698 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,23840.37,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Only INR 23,840.37 is available today, and the full amount cannot be completed safely within 90 days."
request_88,10292.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9419301.26,not_affordable,not_recommended,none,2026-01-15,none,"Not recommended: IDR 9,419,301.26 is available today, but the full IDR 13,756,000 cannot be completed safely within 90 days."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
